一丘之貉	yi qiu zhi he
一丝一毫	yi si yi hao
一丝不挂	yi si bu gua
一丝不苟	yi si bu gou
一举一动	yi ju yi dong
一举两得	yi ju liang de
一举成名	yi ju cheng ming
一了百了	yi liao bai liao
一事无成	yi shi wu cheng
一五一十	yi wu yi shi
一以贯之	yi yi guan zhi
一元复始	yi yuan fu shi
一决胜负	yi jue sheng fu
一决雌雄	yi jue ci xiong
一击即溃	yi ji ji kui
一刀两断	yi dao liang duan
一分为二	yi fen wei er
一刹那间	yi cha na jian
一刻千金	yi ke qian jin
一力承担	yi li cheng dan
一动不动	yi dong bu dong
一劳永逸	yi lao yong yi
一厢情愿	yi xiang qing yuan
一去不返	yi qu bu fan
一反常态	yi fan chang tai
一口咬定	yi kou yao ding
一叶知秋	yi ye zhi qiu
一叶障目	yi ye zhang mu
一吐为快	yi tu wei kuai
一呼百和	yi hu bai he
一呼百应	yi hu bai ying
一命呜呼	yi ming wu hu
一哄而上	yi hong er shang
一哄而散	yi hong er san
一哄而起	yi hong er qi
一唱一和	yi chang yi he
一唱三叹	yi chang san tan
一团和气	yi tuan he qi
一团漆黑	yi tuan qi hei
一塌糊涂	yi ta hu tu
一声不吭	yi sheng bu keng
一声不响	yi sheng bu xiang
一夫当关	yi fu dang guan
一头雾水	yi tou wu shui
一如既往	yi ru ji wang
一孔之见	yi kong zhi jian
一字一句	yi zi yi ju
一字不差	yi zi bu cha
一字不落	yi zi bu la
一字之师	yi zi zhi shi
一字千金	yi zi qian jin
一官半职	yi guan ban zhi
一家之主	yi jia zhi zhu
一家之言	yi jia zhi yan
一家老小	yi jia lao xiao
一尘不染	yi chen bu ran
一己之私	yi ji zhi si
一己之见	yi ji zhi jian
一帆风顺	yi fan feng shun
一席之地	yi xi zhi di
一干二净	yi gan er jing
一年一度	yi nian yi du
一年到头	yi nian dao tou
一年半载	yi nian ban zai
一应俱全	yi ying ju quan
一式一样	yi shi yi yang
一张一弛	yi zhang yi chi
一往情深	yi wang qing shen
一往无前	yi wang wu qian
一往直前	yi wang zhi qian
一心一意	yi xin yi yi
一心两用	yi xin liang yong
一念之差	yi nian zhi cha
一息尚存	yi xi shang cun
一意孤行	yi yi gu xing
一成不变	yi cheng bu bian
一手包办	yi shou bao ban
一手包揽	yi shou bao lan
一手遮天	yi shou zhe tian
一扫而光	yi sao er guang
一扫而空	yi sao er kong
一技之长	yi ji zhi chang
一拍即合	yi pai ji he
一拥而上	yi yong er shang
一拥而入	yi yong er ru
一挥而就	yi hui er jiu
一掷千金	yi zhi qian jin
一文不值	yi wen bu zhi
一文不名	yi wen bu ming
一斑窥豹	yi ban kui bao
一无可取	yi wu ke qu
一无所得	yi wu suo de
一无所成	yi wu suo cheng
一无所有	yi wu suo you
一无所求	yi wu suo qiu
一无所知	yi wu suo zhi
一无所获	yi wu suo huo
一无所长	yi wu suo chang
一无是处	yi wu shi chu
一日三秋	yi ri san qiu
一日千里	yi ri qian li
一时半刻	yi shi ban ke
一星半点	yi xing ban dian
一曝十寒	yi pu shi han
一望无垠	yi wang wu yin
一望无边	yi wang wu bian
一望无际	yi wang wu ji
一望而知	yi wang er zhi
一朝一夕	yi zhao yi xi
一木难支	yi mu nan zhi
一本万利	yi ben wan li
一本正经	yi ben zheng jing
一来二去	yi lai er qu
一来二往	yi lai er wang
一板一眼	yi ban yin yan
一枝独秀	yi zhi du xiu
一概而论	yi gai er lun
一槌定音	yi chui ding yin
一模一样	yi mo yi yang
一步到位	yi bu dao wei
一步登天	yi bu deng tian
一毛不拔	yi mao bu ba
