珠光宝气	zhu guang bao qi
心急如焚	xin ji ru fen
乘人之危	cheng ren zhi wei
文武全才	wen wu quan cai
独木难支	du mu nan zhi
一文不名	yi wen bu ming
羊入虎口	yang ru hu kou
劳逸结合	lao yi jie he
不得要领	bu de yao ling
悬崖勒马	xuan ya le ma
披头散发	pi tou san fa
明知故问	ming zhi gu wen
相亲相爱	xiang qin xiang ai
异口同声	yi kou tong sheng
蛊惑人心	gu huo ren xin
忘乎所以	wang hu suo yi
前仆后继	qian pu hou ji
在所不惜	zai suo bu xi
百读不厌	bai du bu yan
指名道姓	zhi ming dao xing
稳若泰山	wen ruo tai shan
天涯海角	tian ya hai jiao
等闲视之	deng xian shi zhi
眉开眼笑	mei kai yan xiao
满腔热忱	man qiang re chen
星火燎原	xing huo liao yuan
纵虎归山	zong hu gui shan
身强力壮	shen qiang li zhuang
前仰后合	qian yang hou he
与人为善	yu ren wei shan
一落千丈	yi luo qian zhang
因地制宜	yin di zhi yi
三番两次	san fan liang ci
有福同享	you fu tong xiang
狭路相逢	xia lu xiang feng
动人心弦	dong ren xin xian
虚情假意	xu qing jia yi
至死不变	zhi si bu bian
才德兼备	cai de jian bei
舍身取义	she shen qu yi
痴心妄想	chi xin wang xiang
无独有偶	wu du you ou
信以为真	xin yi wei zhen
手慌脚乱	shou huang jiao luan
暴风骤雨	bao feng zhou yu
以偏概全	yi pian gai quan
不亦乐乎	bu yi le hu
特立独行	te li du xing
老气横秋	lao qi heng qiu
根深柢固	gen shen di gu
望文生义	wang wen sheng yi
无言以对	wu yan yi dui
体无完肤	ti wu wan fu
天渊之别	tian yuan zhi bie
亡羊补牢	wang yang bu lao
轻言细语	qing yan xi yu
浑身是胆	hun shen shi dan
化为乌有	hua wei wu you
用武之地	yong wu zhi di
无恶不作	wu e bu zuo
引以为荣	yin yi wei rong
忠言逆耳	zhong yan ni er
独往独来	du wang du lai
百无一失	bai wu yi shi
寻根究底	xun gen jiu di
龙潭虎穴	long tan hu xue
人人自危	ren ren zi wei
万马奔腾	wan ma ben teng
受益匪浅	shou yi fei qian
三长两短	san chang liang duan
欣欣向荣	xin xin xiang rong
树大招风	shu da zhao feng
有目共睹	you mu gong du
心血来潮	xin xue lai chao
鸿篇巨制	hong pian ju zhi
树大根深	shu da gen shen
千丝万缕	qian si wan lu
庞然大物	pang ran da wu
朽木难雕	xiu mu nan diao
出乎预料	chu hu yu liao
风轻云淡	feng qing yun dan
歪风邪气	wai feng xie qi
空中楼阁	kong zhong lou ge
井然有序	jing ran you xu
言归正传	yan gui zheng zhuan
喜从天降	xi cong tian jiang
不翼而飞	bu yi er fei
不懂装懂	bu dong zhuang dong
左思右想	zuo si you xiang
同出一辙	tong chu yi zhe
心惊肉跳	xin jing rou tiao
厚颜无耻	hou yan wu chi
独具匠心	du ju jiang xin
勤学苦练	qin xue ku zh
心惊胆战	xin jing dan zhan
黯然失色	an ran shi se
翻箱倒柜	fan xiang dao gui
据理力争	ju li li zheng
放任自流	fang ren zi liu
